sira_no,ihrac_kodu,lidas_unvani,il,ilce_lokasyon
46,XIR,AZİZİYE TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ERZURUM,MERKEZ
47,XNI,BABAESKİ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KIRKLARELİ,BABAESKİ
48,XFA,BAĞIŞLAR TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ADANA,İMAMOĞLU
49,XNU,BAL KAN LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,DİYARBAKIR,BİSMİL
50,XPT,BAL TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,DİYARBAKIR,ÇINAR
51,XFR,BALIKESİR HUBUBAT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,BALIKESİR,MERKEZ
52,XGM,BALKIR TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,SİVAS,MERKEZ
53,XGD,BALSAN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,DİYARBAKIR,MERKEZ
54,XMG,BALYAN LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,DİYARBAKIR,SİLVAN
55,XIN,BANDIRMA BORSA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,BALIKESİR,MERKEZ
56,XMV,BARAK LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,GAZİANTEP,OĞUZELİ
57,XGK,BAŞAK SARIKAYA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,YOZGAT,MERKEZ
58,XFZ,BATMAN LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,BATMAN,MERKEZ
59,XRH,BEKA LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ TİCARET A.Ş.,DİYARBAKIR,YENİŞEHİR
60,XLO,BEŞLER LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,GAZİANTEP,ŞEHİTKAMİL
61,XEP ,BETA GEN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,DİYARBAKIR,MERKEZ
62,XKF,BETA GEN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,DİYARBAKIR,BİSMİL
63,XLF,BEYOĞLU AGRO TARIM ÜRÜNLERI LISANSLI DEPOCULUK A.Ş.,NİĞDE,MERKEZ
64,XNY,BİLDİKLER AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,YOZGAT,SORGUN
65,XID,BİRLER LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,DİYARBAKIR,MERKEZ
66,XMP,BİRLİK LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,AĞRI,ELEŞKİRT
67,XIZ,BİZİM TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KARAMAN,MERKEZ
68,XON,BOZOK SANCAĞI TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,YOZGAT,MERKEZ
69,XPS,BTB BALIKESİR TİCARET BORSASI TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,BALIKESİR,ALTIEYLÜL
70,XOV,BULİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,YOZGAT,SORGUN
71,XUE,BULUT AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SAN. VE TİC. A.Ş.,YOZGAT,SORGUN
72,XKT,BÜYÜK MENDERES TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,AYDIN,SÖKE
73,XPR,CANDARLAR TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,TEKİRDAĞ,MALKARA
74,CLD,CEMAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.,DİYARBAKIR,MERKEZ
75,XOE,CEMİL DEMİR TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,EDİRNE,HAVSA
76,XES,CENSA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,DİYARBAKIR,MERKEZ
77,XKC,CEYLANLAR LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KIRŞEHİR,MERKEZ
78,XNT,CEYLANLAR LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KIRŞEHİR,BOZTEPE
79,XOL,ÇARŞAMBA LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,TEKİRDAĞ,SARAY
80,XFC,ÇELİKOĞULLARI LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,DİYARBAKIR,MERKEZ
81,XNZ,ÇEVİKLER TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,SELÇUKLU
82,XNJ,ÇİÇEK LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ŞANLIURFA,EYYÜBİYE
83,XRG,ÇÖKEN AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ESKİŞEHİR,ODUNPAZARI
84,XKJ,ÇUKUROVATOPRAK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ADANA,KARATAŞ
85,XPA,ÇUKUROVATOPRAK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ADANA,CEYHAN
86,XMH,DAYANLAR LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,SİİRT,KURTALAN
87,XKM,DEMİRAĞALAR BEREKET ŞENYURT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,MARDİN,KIZILTEPE
88,XPC,DEMİRSAN LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ŞANLIURFA,EYYÜBİYE
89,XLN,DENİZLİ BORSA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,DENİZLİ,TAVAS
90,XMS,DENİZLİ BORSA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,DENİZLİ,ÇİVRİL
91,XNB,DESA LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,DİYARBAKIR,BİSMİL
92,XFD,DİCLE İPEKYOLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,MARDİN,KIZILTEPE
93,XEI,DOĞA AKBULUT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,AKSARAY,MERKEZ
94,XME,DOĞAL TAT AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ŞANLIURFA,EYYÜBİYE
95,XEU,DOĞU MARMARA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,SAKARYA,MERKEZ
96,XGU,DURAK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,DİYARBAKIR,MERKEZ
97,XKZ,DUYAN AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,MARDİN,KIZILTEPE
98,XIA,DÜLGER LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KÜTAHYA,MERKEZ
99,ETD,EDİRNE TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,EDİRNE,MERKEZ
100,ELD,EGE TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,İZMİR,MERKEZ
101,XJO,EKBER TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KAHRAMANMARAŞ,MERKEZ
102,XNS,EL SA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KAHRAMANMARAŞ,ELBİSTAN
