sira_no,ihrac_kodu,lidas_unvani,il,ilce_lokasyon
198,XRC,MAF LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,DİYARBAKIR,ERGANİ
199,XKH,MAKSOY TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,MERSİN,TARSUS
200,XFF,MAPA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,MERKEZ
201,XPI,MARDİN ÖZLER TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,ŞANLIURFA,VİRANŞEHİR
202,MTD,MARDİN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,MARDİN,MARDİN
203,MLD,MARMARA BİRLİK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,BURSA,BAŞKÖY
204,MLD,MARMARA BİRLİK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,BALIKESİR,ERDEK
205,XLK,MARSAN GRUP TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,DİYARBAKIR,SUR
206,XEO,MATLI TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş. ,TEKİRDAĞ,ÇORLU
207,XDR,MATLI TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş. ,GAZİANTEP,ŞEHİTKAMİL
208,XBJ,MATLI TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş. ,KONYA,MERKEZ
209,MAT,MATLI TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş. ,BURSA,KARACABEY
210,XGO,MATLI TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş. ,ANKARA,POLATLI
211,XLY,MEMİŞ OĞULLARI TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş,YOZGAT,BOĞAZLIYAN
212,XNM,MERT GÜL TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ELAZIĞ,MERKEZ
213,XPY,MERZİFON ERTEM LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,AMASYA,MERZİFON
214,XOI,MERZİFON GÜLBAHAR LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,AMASYA,MERZİFON
215,XHZ,MERZİFON TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,AMASYA,MERKEZ
216,XEM,MEZOPOTAMYA LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,MARDİN,MERKEZ
217,XRF,MİLL STAR LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,ÇELTİK
218,XMO,MİR AGRO LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,VAN,TUŞBA
219,XJT,MK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ŞANLIURFA,EYYÜBİYE
220,XPP,MKARABURÇ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ŞANLIURFA,SİVEREK
221,XIJ,MSG LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,DİYARBAKIR,MERKEZ
222,XMT,MUNZUR AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SAN. VE TİC. A.Ş.,TUNCELİ,MAZGİRT
223,MTL,MUTLU GRAİN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,GAZİANTEP,MERKEZ
224,MYS,MYSİLO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,AKSARAY,MERKEZ
225,MYS,MYSİLO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,KIRKLARELİ,MERKEZ
226,MYS,MYSİLO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,ESKİŞEHİR,MAHMUDİYE
227,MYS,MYSİLO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,YOZGAT,"ŞEFAATLİ,YERKÖY"
228,XKK,NARLI TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KAHRAMANMARAŞ,PAZARCIK
229,XTU,NAROVA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KAHRAMANMARAŞ,MERKEZ
230,XUC,NAZIR ALICI TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ÇORUM,İSKİLİP
231,XHG,NERGİZ AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ADANA,MERKEZ
232,OBA,OBA LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş. ,GAZİANTEP,MERKEZ
233,XUG,OĞUZ LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ADANA,CEYHAN
234,XKG,OKURLAR LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,AKSARAY,MERKEZ
235,XGE,ONURLAR AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,MERKEZ
236,XIY,ÖNER LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,MARDİN,MERKEZ
237,XOJ,ÖNTÜRK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,HATAY,KIRIKHAN
238,XUF,ÖZ POLAT AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KAHRAMANMARAŞ,AFŞİN
239,XJU,ÖZAKAN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,MERKEZ
240,XKB,ÖZB LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,DİYARBAKIR,MERKEZ
241,XKV,ÖZDEMİRLER AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,AKSARAY,MERKEZ
242,OZK,ÖZEKİZLER AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ADANA,SARIÇAM
243,XGI,ÖZERSOY TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ANKARA,HAYMANA
244,XOC,ÖZERSOY TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,EDİRNE,HAVSA
245,XNO,ÖZGENÇ LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ESKİŞEHİR,MAHMUDİYE
246,OZM,ÖZMEN HUBUBAT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,GAZİANTEP,MERKEZ
247,XPG,ÖZMİRİOĞLU LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,HATAY,BELEN
248,XPN,ÖZNER LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,DİYARBAKIR,BİSMİL
249,XHP,ÖZPERVANE AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,DİYARBAKIR,MERKEZ
250,XPK,ÖZTAÇ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ŞANLIURFA,EYYÜBİYE
251,XJZ,PAMUKKALE TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,DENİZLİ,MERKEZ
252,XMI,PAMUKKALE TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,UŞAK,MERKEZ
253,XLD,PAMUKKALE TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,DENİZLİ,ACIPAYAM
254,XTZ,PAMUKKALE TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,DENİZLİ,TAVAS
255,XML,PAMUKKALE TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,DENİZLİ,BAKLAN
256,XHV,POLAT AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,NEVŞEHİR,KOZAKLI
257,XFT,POLAT AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,YOZGAT,ÖZLER
258,PLT,POLAT AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,YOZGAT,MERKEZ
259,XUI,POLAT AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,NEVŞEHİR,HACIBEKTAŞ
260,XFB,POLER URFA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ŞANLIURFA,MERKEZ
261,XIE,POLER URFA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,MARDİN,DERİK
262,XOM,POLER URFA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,ŞANLIURFA,EYYÜBİYE
263,PTB,PTB TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,ANKARA,POLATLI
264,XIH,RAMAZANOĞULLARI AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ADANA,MERKEZ
265,RNF,RANA FARM TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,KARAMAN,MERKEZ
266,XGP,REKOLTE TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,MERKEZ
267,RUT,RUHBAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,KAYSERİ,MERKEZ
268,SFT,SAFİRTAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,KAHRAMANMARAŞ,MERKEZ
269,XJG,SAKARYA TB TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,SAKARYA,MERKEZ
270,XGA,SALUVAN LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,SİİRT,MERKEZ
271,STL,SANDIKÇI TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,ADANA,MERKEZ
272,SRC,SARAÇ HUBUBAT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.,KONYA,"MERKEZ, BEYŞEHİR"
273,XEK,SARAYLI TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,YOZGAT,MERKEZ
274,XHI,SARILAR LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ADANA,MERKEZ
275,XNV,SAVRANLAR TARIM ÜRÜNLERİ LİSANSLI DEPO A.Ş.,AKSARAY,ESKİL
276,XPB,SAYHAN AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,MARDİN,DERİK
277,XGH,SENTİNUS TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KAYSERİ,SARIOĞLAN
278,XHH,SENTİNUS TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,ŞANLIURFA,MERKEZ
279,XIG,SERHAT LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,DİYARBAKIR,MERKEZ
280,XNC,SİLOPİ LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ŞIRNAK,SİLOPİ
281,XNA,SİLVAN MSG LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,DİYARBAKIR,SİLVAN
282,XII,SİLVAN VARLIK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.,DİYARBAKIR,MERKEZ
283,SLT,SİVAS LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,SİVAS,MERKEZ
284,XKY,SİYEZ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,MARDİN,KIZILTEPE
285,SNM,SÖNMEZLERAGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,ADANA,YÜREĞİR 
286,XMM,SUNAR LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,SELÇUKLU
287,XOT,SÜLEYMANOĞLU LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,DİYARBAKIR,BİSMİL
288,XPE,SÜLOĞLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,EDİRNE,SÜLOĞLU
289,XKN,SÜPERSON TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ANKARA,POLATLI
290,XDU,ŞANLIURFA PAMUK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,ŞANLIURFA,MERKEZ
291,XHE,ŞENLİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ŞANLIURFA,MERKEZ
292,XOP,ŞENLİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ŞANLIURFA,KOÇÖREN
293,XJS,ŞEVGİNLER TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,VAN,MERKEZ
294,XMR,ŞEVGİNLER TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,MUŞ,BULANIK
295,SML,ŞİMALA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş. ,KONYA,MERKEZ
296,STU,ŞİMŞEKLİ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş. ,KONYA,MERKEZ
297,XRB,TAKIMCI LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,KADINHANI
298,XJV,TANELSAN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,DİYARBAKIR,MERKEZ
299,XOS,TARİŞ ÜZÜM TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,İZMİR,KEMALPAŞA
300,XFM,TARSUS TİCARET BORSASI TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,MERSİN,MERKEZ
301,XOR,TAŞKIRAN LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,ÇUMRA
302,XIS,TAVŞU LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ŞANLIURFA,MERKEZ
303,XTY,TEAM TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ESKİŞEHİR,ALPU
304,XMK,TEAM TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,KARAPINAR
305,XLE,TEAM TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,OSMANİYE,KADİRLİ
306,XGB,TEKA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KIRIKKALE,MERKEZ
307,XGB,TEKA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ANKARA,BALA
308,TKB,TEKBAŞLAR TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,ADANA,MERKEZ
309,XRP,TEKCAN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,EDİRNE,KEŞAN
310,XGR,TEKİN LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,BATMAN,OSB
311,XFN,TEKİN LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,ADIYAMAN,BESNİ
312,TLT,TEKİN LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,BATMAN ,MERKEZ
313,XFK,TEKNİK AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,MANİSA,MERKEZ
314,XIO,TEZ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ADANA,MERKEZ
315,TZC,TEZCAN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,KONYA,ÇELTİK
316,XJA,TİGRİS GAP TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,DİYARBAKIR,MERKEZ
317,XOO,TİGRİS GAP TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,DİYARBAKIR,ERGANİ
318,XNN,TİRYAKİ TARIM ÜRÜNLERİ LİSANSLI DEPO SAN. TİC. A.Ş. ,MUŞ,MERKEZ
319,TYT,TİRYAKİ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,GAZİANTEP,MERKEZ
320,TYT,TİRYAKİ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,BALIKESİR,BANDIRMA
321,TYT,TİRYAKİ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,ÇORUM,MERKEZ
322,TYT,TİRYAKİ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,MERSİN,MERKEZ
323,XFW,TMO-TOBB TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş. ,KIRKLARELİ,BABAESKİ
324,XHB,TMO-TOBB TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş. ,ÇORUM,MERKEZ
325,XHN,TMO-TOBB TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş. ,TEKİRDAĞ,HAYRABOLU
326,XFV,TMO-TOBB TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş. ,KIRIKKALE,KESKİN
327,XED,TMO-TOBB TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş. ,EDİRNE,KEŞAN
328,XGY,TMO-TOBB TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş. ,MALATYA,MERKEZ
329,TTD,TMO-TOBB TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş. ,KIRŞEHİR,MUCUR
330,XEE,TMO-TOBB TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş. ,YOZGAT,SARIKAYA
331,TOP,TOPRAK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,KARAMAN,"MERKEZ,KKARABEKİR"
332,TOP,TOPRAK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,KONYA,"ALTINEKİN, KADINHANI"
333,XLP,TOSUN HUBUBAT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,KIRIKKALE,BALIŞEYH
334,TET,TRAKYA EVREN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,EDİRNE,KEŞAN
335,TET,TRAKYA EVREN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,TEKİRDAĞ,MERKEZ
336,XJM,TÜRKMEN LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,KONYA,MERKEZ
337,XHC,TZN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,AKSARAY,ESKİL
338,XOA,TZN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,KARATAY
339,XJH,UÇAK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,AYDIN,MERKEZ
340,XJI,ULİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş. ,KIRIKKALE,ÇERİKLİ
341,XBM,ULİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş. ,YOZGAT,SORGUN
342,XBM,ULİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş. ,ÇORUM,ALACA
343,XKA,ULİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş. ,AYDIN,GERMENCİK
344,XLZ,UMUT LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,OSMANİYE,MERKEZ
345,XRK,UNEX LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,TEKİRDAĞ,SÜLEYMANPAŞA
346,UNS,UNSAN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş. ,MARDİN ,MERKEZ
347,XPV,UTEK ESER TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,ILGIN
348,XHT,VENÜS SİLO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,MARDİN,MERKEZ
349,XFP,VİRANŞEHİR LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ŞANLIURFA,MERKEZ
350,YAL,YALNIZLAR AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,KONYA,MERKEZ
351,XMJ,YALNIZLAR AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,KONYA,KARAPINAR
352,XND,YASİN ATMACA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ŞANLIURFA,VİRANŞEHİR
353,XNG,YEKSAM TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,SAMSUN,ATAKUM
354,XJY,YENİPAZAR TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,KIRŞEHİR,KAMAN
355,XEL,YENİPAZAR TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,YOZGAT,MERKEZ
356,XRN,YENİPAZAR TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,SİVAS,ULAŞ
357,XET,YİĞİT AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ŞANLIURFA,MERKEZ
358,XLC,YİĞİT AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,ŞANLIURFA,EYYÜBİYE
359,XRA,YİĞİT AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,ESKİŞEHİR,ODUNPAZARI
360,XFO,YİĞİTLER AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,MARDİN,MERKEZ
361,XRR,YÖRÜKOĞLU KARDEŞLER LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ADANA,CEYHAN
362,XOG,YURTTAŞLAR AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,NEVŞEHİR,HACIBEKTAŞ
363,YUS,YUSUF ZENGİN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,MERKEZ
364,XKO,YUSUF ZENGİN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,ORGANİZE
365,XGN,ZD LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,SİİRT,MERKEZ
366,XKP,ZEN GLOBAL TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ŞANLIURFA,VİRANŞEHİR
367,XIT,ZEROVA ASSA LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,GAZİANTEP,MERKEZ
368,XLU,ZİYA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,KIRKLARELİ,LÜLEBURAZ
