lidas,il,ilce,toplam_hacim_tl,toplam_miktar_ton,islem_sayisi,urun_cesidi
"ŞİMALA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",KONYA,KARATAY,3287612,199.9,3,3
"TMO TOBB TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",KIRKLARELİ,BABAESKİ,3045981,227.8,5,4
"KAİNAT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",TEKİRDAĞ,ERGENE,2882854,182.8,6,3
"HACI EMİN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",BATMAN,MERKEZ,2842065,240.9,1,1
"AŞIROĞULLARI LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA,CBEYLİ,2769888,227.0,1,1
"GK LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",OSMANİYE,KADİRLİ,2716250,205.0,2,1
"İZZETTİN DENKTAŞ LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",DİYARBAKIR,EĞİL,2678600,227.0,1,1
"ALTUNTAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",AKSARAY,AĞAÇÖREN,2614406,206.1,10,3
"BANDIRMA BORSA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",BALIKESİR,BANDIRMA,2425420,157.7,6,1
"SAVRANLAR TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",AKSARAY,ESKİL,2404132,197.1,1,1
"ÖNTÜRK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",HATAY,KIRIKHAN,2305800,189.0,1,1
"ALTUNTAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",AKSARAY,MERKEZ,2196588,184.4,4,1
"GÜZEL TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA,CBEYLİ,2134266,152.3,6,4
"CSS LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",DİYARBAKIR,ÇINAR,2088675,138.9,3,1
"ESLİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",EDİRNE,HAVSA,2076406,134.3,9,4
"ESERLER TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",YOZGAT,ÇANDIR,2056746,133.9,3,2
"MARDİN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",MARDİN,KTEPE,2031440,121.3,2,1
"ŞİMALA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",KONYA,ÇUMRA,1888440,133.5,4,1
"KUŞAT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KAYSERİ,FELAHİYE,1807965,158.6,4,3
"ALTINBİLEK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ESKİŞEHİR,OPAZARI,1804362,143.8,6,2
"ERK LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA,AEKİN,1733692,118.6,5,4
"KAYSERİ ŞEKER TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KAYSERİ,DEVELİ,1695040,114.3,6,3
"POLAT AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",NEVŞEHİR,KOZAKLI,1693200,121.1,7,4
"TMO TOBB TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",TEKİRDAĞ,HBOLU,1681800,110.5,4,3
"KAYSERİ ŞEKER TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",SİVAS,ŞARKIŞLA,1610840,115.1,1,1
"HEKİMOĞLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",KONYA,SELÇUKLU,1569330,126.7,3,2
"KEPENÇ LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",MARDİN,KTEPE,1461105,89.3,2,1
"MYSİLO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KIRKLARELİ,MERKEZ,1369354,93.2,7,4
"GÜR LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",BATMAN,BEŞİRİ,1319960,111.9,1,1
"POLER URFA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",MARDİN,DERİK,1239000,105.0,1,1
"MYSİLO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ESKİŞEHİR,MMUDİYE,1205128,95.8,3,2
"ERC TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KAYSERİ,PBAŞI,1196539,93.9,6,3
"DOĞA AKBULUT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",AKSARAY,MERKEZ,1139390,81.4,3,3
"AFYON BORSA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",AFYONKARAHİSAR,DİNAR,1063720,76.0,1,1
"BAL TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",DİYARBAKIR,ÇINAR,1003200,66.9,1,1
"HASANOĞULLARI LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",AKSARAY,ORTAKÖY,1000696,83.8,6,1
"TEKİN LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",BATMAN,MERKEZ,937545,79.5,1,1
"RUHBAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KAYSERİ,TALAS,899068,61.6,1,1
"NARLI TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KAHRAMANMARAŞ,PAZARCIK,833894,68.4,1,1
"DOĞU MARMARA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",SAKARYA,APAZARI,747564,54.8,2,1
"İMPAZ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",TEKİRDAĞ,SPAŞA,746642,44.2,1,1
"TMO TOBB TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",EDİRNE,KEŞAN,740880,41.2,1,1
"POLAT AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",NEVŞEHİR,HBEKTAŞ,738666,52.9,5,4
"AL LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KAHRAMANMARAŞ,PAZARCIK,709601,58.2,1,1
"ÖZAKAN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA,CBEYLİ,671600,46.0,2,1
"ATARLAR TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",AKSARAY,ESKİL,626348,51.3,1,1
"KAİNAT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KIRKLARELİ,PHİSAR,613200,42.0,2,1
"SAFİRTAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KAHRAMANMARAŞ,TÜRKOĞLU,611061,50.1,1,1
"YURTTAŞLAR AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",NEVŞEHİR,HBEKTAŞ,553305,39.5,3,2
"AZİM LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",MARDİN,KTEPE,522500,31.6,2,1
"ATA LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KAHRAMANMARAŞ,12ŞUBAT,496979,40.7,1,1
"ÇEVİKLER TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA,SELÇUKLU,487000,32.0,3,1
"ÖZERSOY TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",EDİRNE,HAVSA,473332,31.7,4,3
"YENİ PAZAR TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",SİVAS,ULAŞ,411950,30.0,1,1
"ALKIM LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KIRŞEHİR,MERKEZ,410350,28.3,1,1
"YALNIZLAR AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",KONYA,KPINAR,371148,30.4,2,1
"TOSUN HUBUBAT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KIRIKKALE,BALIŞEYH,357750,26.5,1,1
"LDR TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA,KPINAR,296534,23.5,1,1
"AYEN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",MERSİN,TARSUS,295000,20.0,1,1
"HİMMETDEDE TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",NEVŞEHİR,HBEKTAŞ,286877,25.4,2,1
"CEMİL DEMİR TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",EDİRNE,HAVSA,259922,16.0,2,1
"TMO TOBB TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",KIRŞEHİR,MUCUR,256168,18.0,1,1
"TOPRAK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KARAMAN,MERKEZ,225750,17.5,1,1
"KÜÇÜKER İNÇLER TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA,KARATAY,201600,13.4,1,1
"BEYOĞLU AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",NİĞDE,MERKEZ,144060,10.3,1,1
"BAŞAK SARIKAYA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",YOZGAT,SARIKAYA,121968,9.2,1,1
"ANADOLU SELÇUKLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA,ÇELTİK,116564,9.2,1,1
"KAİNAT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",SİVAS,KANGAL,104000,8.0,1,1
"UNEX LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",TEKİRDAĞ,SPAŞA,97580,5.7,1,1
"KARAKAYA LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",SAMSUN,VKÖPRÜ,75350,5.5,1,1
"KAİNAT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",YOZGAT,MERKEZ,24700,2.0,2,1
"SARAÇ HUBUBAT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",KONYA,KARATAY,14550,1.0,1,1
